hour,day_of_week,is_weekend,ping_avg_rtt_ms_lag_1,ping_avg_rtt_ms_lag_2,ping_avg_rtt_ms_lag_3,ping_avg_rtt_ms_lag_4,download_lag_1,upload_lag_1,jitter_lag_1,weather_code,target
20,5,1,24.58,27.44,54.56,28.58,276.86,35.04,2.8,0.0,26.74
20,5,1,27.22,24.58,27.44,54.56,104.36,19.73,4.71,0.0,28.02
21,5,1,26.74,27.22,24.58,27.44,231.62,41.93,3.9,0.0,24.02
21,5,1,28.02,26.74,27.22,24.58,297.52,35.64,4.2,0.0,28.54
21,5,1,24.02,28.02,26.74,27.22,190.27,47.42,2.31,0.0,26.02
21,5,1,28.54,24.02,28.02,26.74,16.32,41.51,5.45,0.0,26.96
22,5,1,26.02,28.54,24.02,28.02,158.01,23.77,3.35,0.0,29.58
22,5,1,26.96,26.02,28.54,24.02,151.49,35.88,4.47,0.0,28.2
22,5,1,29.58,26.96,26.02,28.54,258.48,47.11,4.71,0.0,24.82
22,5,1,28.2,29.58,26.96,26.02,153.65,44.04,5.33,0.0,24.46
23,5,1,24.82,28.2,29.58,26.96,117.92,50.64,3.14,0.0,28.5
23,5,1,24.46,24.82,28.2,29.58,192.82,47.09,3.1,0.0,29.08
23,5,1,28.5,24.46,24.82,28.2,247.83,47.96,4.49,0.0,26.02
0,6,1,29.08,28.5,24.46,24.82,52.99,24.19,5.39,0.0,56.48
0,6,1,26.02,29.08,28.5,24.46,208.74,15.89,4.53,0.0,25.68
1,6,1,56.48,26.02,29.08,28.5,249.64,37.95,6.9,1.0,26.24
1,6,1,25.68,56.48,26.02,29.08,300.38,38.23,3.24,1.0,26.06
1,6,1,26.24,25.68,56.48,26.02,342.5,50.92,3.88,0.0,28.1
2,6,1,26.06,26.24,25.68,56.48,118.39,44.66,5.1,1.0,24.88
2,6,1,28.1,26.06,26.24,25.68,249.17,51.9,5.94,1.0,25.46
2,6,1,24.88,28.1,26.06,26.24,333.41,30.38,3.1,1.0,26.96
2,6,1,25.46,24.88,28.1,26.06,219.39,40.5,2.63,1.0,27.02
3,6,1,26.96,25.46,24.88,28.1,68.39,47.03,5.92,2.0,31.56
3,6,1,27.02,26.96,25.46,24.88,274.95,36.62,3.29,2.0,25.5
3,6,1,31.56,27.02,26.96,25.46,242.5,26.94,5.45,2.0,27.94
3,6,1,25.5,31.56,27.02,26.96,231.58,45.34,5.33,2.0,29.64
4,6,1,27.94,25.5,31.56,27.02,284.46,14.82,5.82,3.0,36.64
4,6,1,29.64,27.94,25.5,31.56,334.33,39.87,5.92,3.0,36.82
4,6,1,36.64,29.64,27.94,25.5,287.03,18.91,6.78,3.0,30.04
4,6,1,36.82,36.64,29.64,27.94,255.21,39.47,8.5,3.0,26.5
5,6,1,30.04,36.82,36.64,29.64,238.72,23.78,5.8,2.0,30.02
5,6,1,26.5,30.04,36.82,36.64,204.6,41.09,4.63,2.0,24.94
5,6,1,30.02,26.5,30.04,36.82,220.01,26.26,7.82,2.0,26.0
5,6,1,24.94,30.02,26.5,30.04,306.51,35.64,2.92,2.0,27.28
6,6,1,26.0,24.94,30.02,26.5,162.08,17.69,3.69,1.0,32.8
6,6,1,27.28,26.0,24.94,30.02,303.98,28.09,2.9,1.0,26.96
6,6,1,32.8,27.28,26.0,24.94,261.22,34.97,6.78,1.0,28.78
6,6,1,26.96,32.8,27.28,26.0,320.26,40.5,6.02,1.0,24.72
7,6,1,28.78,26.96,32.8,27.28,226.15,13.04,5.9,1.0,24.0
7,6,1,24.72,28.78,26.96,32.8,337.72,42.87,4.27,1.0,26.56
7,6,1,24.0,24.72,28.78,26.96,302.16,16.16,3.47,1.0,34.92
7,6,1,26.56,24.0,24.72,28.78,346.06,23.91,3.53,1.0,29.84
8,6,1,34.92,26.56,24.0,24.72,133.01,17.22,7.02,1.0,30.96
8,6,1,29.84,34.92,26.56,24.0,47.42,36.53,5.45,1.0,28.22
8,6,1,30.96,29.84,34.92,26.56,308.2,44.19,7.0,1.0,65.54
8,6,1,28.22,30.96,29.84,34.92,294.35,29.28,5.98,1.0,25.26
9,6,1,65.54,28.22,30.96,29.84,321.97,32.2,10.94,1.0,25.58
9,6,1,25.26,65.54,28.22,30.96,315.88,29.11,5.1,1.0,28.24
9,6,1,25.58,25.26,65.54,28.22,173.59,30.16,4.55,1.0,26.82
9,6,1,28.24,25.58,25.26,65.54,275.87,44.52,4.06,1.0,27.74
10,6,1,26.82,28.24,25.58,25.26,180.11,42.15,4.2,1.0,27.33
10,6,1,27.74,26.82,28.24,25.58,153.71,20.34,4.96,1.0,25.14
10,6,1,27.33,27.74,26.82,28.24,294.77,43.0,5.42,1.0,27.38
10,6,1,25.14,27.33,27.74,26.82,386.03,40.39,3.33,1.0,24.78
11,6,1,27.38,25.14,27.33,27.74,230.35,41.08,5.14,1.0,26.72
11,6,1,24.78,27.38,25.14,27.33,158.34,47.83,3.08,1.0,27.06
11,6,1,26.72,24.78,27.38,25.14,181.44,25.42,5.18,1.0,36.12
11,6,1,27.06,26.72,24.78,27.38,340.91,32.92,6.1,1.0,28.54
12,6,1,36.12,27.06,26.72,24.78,353.49,45.06,8.22,0.0,45.92
12,6,1,28.54,36.12,27.06,26.72,171.52,31.39,5.37,0.0,30.24
12,6,1,45.92,28.54,36.12,27.06,247.36,37.17,8.27,0.0,26.58
12,6,1,30.24,45.92,28.54,36.12,221.98,50.33,6.67,0.0,41.18
13,6,1,26.58,30.24,45.92,28.54,143.61,29.7,4.67,0.0,26.22
13,6,1,41.18,26.58,30.24,45.92,289.8,28.8,8.51,0.0,30.76
13,6,1,26.22,41.18,26.58,30.24,335.01,42.82,4.57,0.0,26.56
13,6,1,30.76,26.22,41.18,26.58,96.09,11.12,6.04,0.0,26.68
14,6,1,26.56,30.76,26.22,41.18,222.22,30.31,5.43,0.0,25.24
14,6,1,26.68,26.56,30.76,26.22,267.93,35.94,5.29,0.0,56.1
14,6,1,25.24,26.68,26.56,30.76,151.34,22.82,4.18,0.0,26.6
14,6,1,56.1,25.24,26.68,26.56,136.68,22.43,8.14,0.0,26.6
15,6,1,26.6,56.1,25.24,26.68,202.19,34.04,3.73,0.0,31.66
15,6,1,26.6,26.6,56.1,25.24,223.24,36.35,3.88,0.0,25.38
15,6,1,31.66,26.6,26.6,56.1,230.65,27.43,7.84,0.0,25.1
15,6,1,25.38,31.66,26.6,26.6,303.3,32.95,3.2,0.0,25.16
16,6,1,25.1,25.38,31.66,26.6,291.96,47.53,3.29,1.0,25.76
16,6,1,25.16,25.1,25.38,31.66,179.2,41.0,3.59,1.0,27.12
16,6,1,25.76,25.16,25.1,25.38,262.37,16.48,3.0,1.0,32.62
16,6,1,27.12,25.76,25.16,25.1,313.87,38.86,4.44,1.0,29.7
17,6,1,32.62,27.12,25.76,25.16,258.93,44.66,7.57,0.0,25.4
17,6,1,29.7,32.62,27.12,25.76,193.85,28.1,6.22,0.0,26.96
17,6,1,25.4,29.7,32.62,27.12,295.03,32.08,3.96,0.0,27.54
17,6,1,26.96,25.4,29.7,32.62,191.36,31.04,5.18,0.0,27.0
18,6,1,27.54,26.96,25.4,29.7,87.74,25.08,6.45,1.0,29.16
18,6,1,27.0,27.54,26.96,25.4,206.74,34.59,5.02,1.0,32.1
18,6,1,29.16,27.0,27.54,26.96,79.98,33.24,4.63,1.0,33.86
18,6,1,32.1,29.16,27.0,27.54,109.11,14.15,6.22,1.0,41.4
19,6,1,33.86,32.1,29.16,27.0,203.87,31.79,10.82,3.0,35.14
19,6,1,41.4,33.86,32.1,29.16,161.09,51.73,5.35,3.0,24.72
19,6,1,35.14,41.4,33.86,32.1,122.39,45.53,5.69,3.0,28.94
19,6,1,24.72,35.14,41.4,33.86,290.44,32.04,3.04,3.0,28.92
20,6,1,28.94,24.72,35.14,41.4,264.39,32.62,5.41,1.0,25.82
20,6,1,28.92,28.94,24.72,35.14,180.91,39.89,6.08,1.0,28.46
